timestamps,TP9,AF7,AF8,TP10,Right AUX
1673934948.979,964.844,965.332,965.820,965.332,0.000
1673934948.983,964.844,965.332,965.820,965.332,0.000
1673934948.987,964.844,965.332,965.332,965.332,0.000
1673934948.991,964.844,965.332,965.332,965.332,0.000
1673934948.995,964.844,965.332,965.332,965.332,0.000
1673934948.999,964.844,965.332,965.820,965.820,0.000
1673934949.003,964.844,965.332,965.332,965.820,0.000
1673934949.006,964.844,965.332,965.332,965.332,0.000
1673934949.010,978.516,978.516,975.586,978.516,0.000
1673934949.014,910.645,914.551,907.715,913.086,0.000
1673934949.018,-981.934,-991.211,-949.707,-986.816,0.000
1673934949.022,824.707,857.910,665.039,842.773,0.000
1673934949.026,-579.102,-529.297,-599.121,-552.246,0.000
1673934949.030,-1000.000,-1000.000,-824.219,-1000.000,0.000
1673934949.034,-933.594,-933.594,-904.297,-933.594,0.000
1673934949.038,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.042,-1000.000,-1000.000,-984.863,-1000.000,0.000
1673934949.046,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.049,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.053,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.057,-1000.000,-1000.000,-940.918,-1000.000,0.000
1673934949.061,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.065,-1000.000,-1000.000,-678.223,-1000.000,0.000
1673934949.069,-1000.000,-1000.000,177.246,-1000.000,0.000
1673934949.073,-1000.000,-1000.000,-702.148,-1000.000,0.000
1673934949.077,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.081,-1000.000,-1000.000,-939.453,-1000.000,0.000
1673934949.085,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.088,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.092,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.096,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.100,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.104,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.108,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.112,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.116,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.120,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.124,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.128,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.131,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.135,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.139,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.143,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.147,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.151,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.155,-955.566,-946.289,-948.242,-946.289,0.000
1673934949.159,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.163,-941.406,-863.770,-853.516,-862.305,0.000
1673934949.167,418.945,539.551,527.344,541.504,0.000
1673934949.171,-914.551,-926.758,-930.664,-927.246,0.000
1673934949.174,897.949,898.438,900.879,898.438,0.000
1673934949.178,973.633,977.539,976.074,977.539,0.000
1673934949.182,964.844,965.820,965.332,965.332,0.000
1673934949.186,964.844,965.332,965.332,965.332,0.000
1673934949.190,964.844,965.332,965.332,965.332,0.000
1673934949.194,964.355,965.332,965.332,965.332,0.000
1673934949.198,964.355,965.332,965.332,965.332,0.000
1673934949.202,964.844,965.332,965.332,965.332,0.000
1673934949.206,964.844,965.332,965.332,965.332,0.000
1673934949.210,964.844,965.332,965.332,965.820,0.000
1673934949.213,964.844,965.332,965.332,965.332,0.000
1673934949.217,964.844,965.332,965.332,965.332,0.000
1673934949.221,964.844,965.332,965.332,965.332,0.000
1673934949.225,964.355,965.332,965.332,965.332,0.000
1673934949.229,964.844,965.820,965.332,965.820,0.000
1673934949.233,964.844,965.332,965.332,965.332,0.000
1673934949.237,964.844,965.332,965.332,965.332,0.000
1673934949.241,964.844,965.332,965.332,965.332,0.000
1673934949.245,964.844,965.820,966.797,965.332,0.000
1673934949.249,980.469,979.980,968.262,980.957,0.000
1673934949.253,899.414,905.762,919.434,902.344,0.000
1673934949.256,-948.730,-965.332,-989.258,-954.102,0.000
1673934949.260,701.660,767.578,430.176,726.562,0.000
1673934949.264,-740.234,-654.297,-829.590,-708.008,0.000
1673934949.268,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.272,-936.523,-934.570,-954.590,-936.035,0.000
1673934949.276,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.280,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.284,-1000.000,-1000.000,-998.047,-1000.000,0.000
1673934949.288,-1000.000,-1000.000,-979.492,-1000.000,0.000
1673934949.292,-1000.000,-1000.000,-995.605,-1000.000,0.000
1673934949.295,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.299,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.303,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.307,-1000.000,-1000.000,-989.258,-1000.000,0.000
1673934949.311,-1000.000,-1000.000,-998.047,-1000.000,0.000
1673934949.315,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.319,-1000.000,-1000.000,-999.512,-1000.000,0.000
1673934949.323,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.327,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.331,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.335,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.338,-1000.000,-1000.000,-970.703,-1000.000,0.000
1673934949.342,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.346,-1000.000,-1000.000,-803.711,-1000.000,0.000
1673934949.350,-1000.000,-1000.000,-558.105,-1000.000,0.000
1673934949.354,-1000.000,-1000.000,-981.934,-1000.000,0.000
1673934949.358,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.362,-1000.000,-1000.000,-970.215,-1000.000,0.000
1673934949.366,-1000.000,-1000.000,-870.117,-1000.000,0.000
1673934949.370,-1000.000,-1000.000,-961.426,-1000.000,0.000
1673934949.374,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.378,-1000.000,-1000.000,-990.723,-1000.000,0.000
1673934949.381,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.385,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.389,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.393,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.397,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.401,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.405,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.409,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.413,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.417,-937.988,-937.988,-938.477,-937.988,0.000
1673934949.421,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.424,-221.680,-221.191,-213.379,-221.191,0.000
1673934949.428,-964.355,-963.379,-961.426,-963.379,0.000
1673934949.432,948.242,949.219,947.754,949.219,0.000
1673934949.436,937.500,938.477,938.965,937.988,0.000
1673934949.440,971.191,972.168,972.168,972.168,0.000
1673934949.444,964.844,965.332,965.332,965.332,0.000
1673934949.448,964.844,965.332,965.332,965.332,0.000
1673934949.452,964.844,965.820,965.332,965.332,0.000
1673934949.456,964.844,965.332,965.820,965.332,0.000
1673934949.460,964.844,965.332,965.332,965.332,0.000
1673934949.463,964.844,965.332,965.332,965.332,0.000
1673934949.467,964.844,965.332,965.820,965.332,0.000
1673934949.471,964.844,965.332,965.332,965.332,0.000
1673934949.475,964.355,965.332,965.332,965.332,0.000
1673934949.479,964.844,965.332,965.820,965.332,0.000
1673934949.483,964.844,965.332,965.332,965.820,0.000
1673934949.487,964.355,965.332,965.332,965.820,0.000
1673934949.491,964.844,965.332,965.332,965.820,0.000
1673934949.495,964.844,965.332,965.332,965.332,0.000
1673934949.499,964.844,965.332,965.332,965.332,0.000
1673934949.503,964.844,965.332,965.332,965.332,0.000
1673934949.506,964.844,965.332,965.332,965.332,0.000
1673934949.510,964.844,965.332,962.891,965.332,0.000
1673934949.514,964.844,965.332,964.844,965.332,0.000
1673934949.518,968.262,967.773,983.398,967.773,0.000
1673934949.522,947.754,953.125,824.707,952.148,0.000
1673934949.526,929.199,921.875,893.066,923.828,0.000
1673934949.530,-930.176,-916.992,913.086,-920.410,0.000
1673934949.534,-83.008,-17.578,-267.578,-34.668,0.000
1673934949.538,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.542,-950.195,-957.031,-880.859,-955.078,0.000
1673934949.545,-992.676,-988.281,459.473,-989.746,0.000
1673934949.549,-1000.000,-1000.000,27.344,-1000.000,0.000
1673934949.553,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.557,-1000.000,-1000.000,-959.473,-1000.000,0.000
1673934949.561,-1000.000,-1000.000,-987.305,-1000.000,0.000
1673934949.565,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.569,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.573,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.577,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.581,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.585,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.588,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.592,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.596,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.600,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.604,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.608,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.612,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.616,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.620,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.624,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.628,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.631,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.635,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.639,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.643,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.647,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.651,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.655,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.659,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.663,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.667,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.670,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.674,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.678,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.682,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.686,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.690,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.694,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.698,-935.059,-935.059,-934.570,-932.617,0.000
1673934949.702,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934949.706,-737.305,-737.305,-694.824,-701.660,0.000
1673934949.710,704.102,705.078,735.352,743.164,0.000
1673934949.713,-952.637,-951.660,-960.449,-958.984,0.000
1673934949.717,900.879,901.367,904.785,902.832,0.000
1673934949.721,979.980,980.469,979.980,980.957,0.000
1673934949.725,964.844,965.332,965.332,965.332,0.000
1673934949.729,964.844,965.820,965.332,965.332,0.000
1673934949.733,964.844,965.332,965.820,965.820,0.000
1673934949.737,964.844,965.332,965.332,965.332,0.000
1673934949.741,964.844,965.332,965.332,965.820,0.000
1673934949.745,964.844,965.332,965.332,965.332,0.000
1673934949.749,964.844,965.332,965.332,965.332,0.000
1673934949.753,964.844,965.332,965.332,965.332,0.000
1673934949.756,964.355,965.820,965.332,965.332,0.000
1673934949.760,964.844,965.820,965.332,965.332,0.000
1673934949.764,964.844,965.332,965.332,965.332,0.000
